DIVISION_FN,GRUPO_FN,META,FINALIDAD,UNIDAD_MEDIDA,CANT_META_SEM,AVAN_FISICO_SEM,SEC_FUNC,DEPARTAMENTO,PROVINCIA,DISTRITO,CATEGORIA_GASTO,GENERICA,SUBGENERICA,SUBGENERICA_DET,ESPECIFICA,ESPECIFICA_DET,MTO_PIA
6,8,8,888,248,6,6,11,60,19,9,5,3,1,5,3,1,1719
51,114,20,235454,43,2,2,57,18,1,99,5,3,1,3,1,3,82
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,7,5,10,0
51,114,22,235454,43,12,12,59,20,1,99,5,3,2,8,1,4,4800
6,8,11,888,248,6,6,14,10,1,99,5,3,1,2,1,1,552
6,8,1,888,60,6,6,4,15,1,1,5,3,2,6,3,99,170000
51,114,16,235454,43,1,1,53,14,1,99,5,3,2,4,2,1,3000
6,8,1,888,60,6,6,4,15,1,1,5,3,1,5,4,1,0
51,114,18,235454,43,38,40,55,16,1,99,5,3,2,6,3,4,19992
6,8,10,888,248,6,6,13,90,19,9,5,3,2,7,11,99,6669
6,8,2,888,248,6,6,5,10,19,9,5,3,1,1,1,1,1073
51,114,17,235454,43,1,1,54,15,3,3,5,3,2,7,11,99,945
51,114,3,235453,152,0,0,40,15,1,1,5,3,2,1,2,2,172782
51,114,25,235454,43,4,4,62,23,1,99,5,3,2,6,3,4,2221
51,114,1,222334,152,40890,61303,38,15,1,99,5,3,1,2,1,2,0
51,114,13,235454,43,41,41,50,10,1,1,5,3,2,6,3,99,61826
6,7,1,17,60,6,6,3,15,1,1,5,3,2,8,1,5,0
51,114,10,235454,43,20,20,47,60,19,9,5,3,1,5,1,2,30988
51,114,26,235454,43,6,6,63,25,1,99,5,3,2,6,3,4,3332
51,114,16,235454,43,1,1,53,14,1,99,5,3,2,6,3,99,1829
6,8,6,888,248,6,6,9,50,19,9,5,3,2,7,11,2,1917
51,114,21,235454,43,9,9,58,19,1,99,5,3,2,8,1,1,324000
6,8,17,888,248,6,6,20,20,1,99,5,3,2,8,1,10,0
51,114,17,235454,43,1,1,54,15,3,3,5,3,2,2,2,1,0
6,8,1,40624,60,6,6,27,15,1,1,5,3,2,1,2,1,700
51,114,12,235454,43,51,51,49,90,19,9,5,3,2,4,5,1,28829
51,114,10,390719,96,0,0,65,13,9,5,6,5,2,2,1,99,0
6,8,14,888,248,6,6,17,16,1,99,5,3,1,5,3,1,2253
51,114,13,235454,43,41,41,50,10,1,1,5,3,1,5,3,1,84192
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,6,3,4,33875
51,114,6,235454,43,36,36,43,30,19,9,5,3,1,3,1,3,1971
51,114,20,235454,43,2,2,57,18,1,99,5,3,1,2,1,1,0
51,114,11,235454,43,63,63,48,80,19,9,5,3,2,4,5,1,41248
6,8,15,888,248,6,6,18,17,1,99,5,3,2,1,2,99,129
51,114,18,235454,43,38,40,55,16,1,99,5,3,1,5,1,2,55778
6,8,10,888,248,6,6,13,90,19,9,5,3,2,9,1,1,184905
51,114,5,235454,43,18,19,42,20,19,9,5,3,2,2,1,2,0
6,8,15,888,248,6,6,18,17,1,99,5,3,1,5,1,2,25329
51,114,9,235454,43,19,19,46,50,60,1,5,3,2,6,3,3,5987
51,114,19,235454,43,2,2,56,17,1,99,5,3,2,7,11,2,0
6,8,23,88314,248,6,6,26,15,1,1,5,3,2,2,2,3,44171
51,114,10,235454,43,20,20,47,60,19,9,5,3,2,6,3,99,20440
51,114,5,235454,43,18,19,42,20,19,9,5,3,2,6,3,3,2155
6,8,12,888,248,6,6,15,12,1,99,5,3,1,2,1,1,361
6,8,17,888,248,6,6,20,20,1,99,5,3,2,7,11,2,6452
6,8,6,888,248,6,6,9,50,19,9,5,3,2,1,2,2,767
51,114,20,235454,43,2,2,57,18,1,99,5,3,2,6,3,4,1111
51,114,13,235454,43,41,41,50,10,1,1,5,3,2,9,1,1,1008457
6,8,12,888,248,6,6,15,12,1,99,5,3,1,1,1,1,1533
51,114,8,235454,43,32,32,45,50,10,1,5,3,2,6,3,2,0
51,114,14,235454,43,26,26,51,12,1,1,5,3,2,6,3,4,14439
6,8,18,888,248,6,6,21,21,1,99,5,3,2,5,1,1,35300
51,114,24,235454,43,4,4,61,22,1,99,5,3,1,2,1,1,1448
6,8,20,888,248,6,6,23,23,1,99,5,3,2,2,2,3,121346
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,7,11,99,50788
51,114,12,235454,43,51,51,49,90,19,9,5,3,2,8,1,5,0
6,8,14,888,248,0,0,17,16,1,99,5,3,2,7,11,5,0
6,8,1,40624,60,0,0,27,15,1,1,5,3,2,7,5,10,0
6,8,21,888,248,0,0,24,25,1,99,5,3,2,2,1,2,200
6,8,20,888,248,0,0,23,23,1,99,5,3,1,8,2,1,161
6,8,13,888,248,0,0,16,13,1,99,5,3,2,4,7,1,78
6,8,10,888,248,0,0,13,90,19,9,5,3,2,4,7,1,2683
6,8,5,888,248,0,0,8,40,19,9,5,3,2,4,7,1,1917
6,8,6,888,248,0,0,9,50,19,9,5,3,2,2,2,2,1496
51,114,25,235454,43,0,0,62,23,1,99,5,3,2,7,11,99,6424
51,114,26,235454,43,0,0,63,25,1,99,5,3,1,2,1,2,3847
51,114,15,235454,43,0,0,52,13,1,1,5,3,1,8,1,2,50
51,114,14,235454,43,0,0,51,12,1,1,5,3,1,8,1,2,531
51,114,7,235454,43,0,0,44,40,19,9,5,3,2,4,7,1,1082
51,114,15,235454,43,0,0,52,13,1,1,5,3,2,2,2,1,5700
51,114,13,235454,43,0,0,50,10,1,1,5,3,1,5,3,2,4995
51,114,10,235454,43,0,0,47,60,19,9,5,3,1,8,2,1,3022
51,114,10,235454,43,0,0,47,60,19,9,5,3,1,8,1,2,269
51,114,5,235454,43,0,0,42,20,19,9,5,3,2,7,11,99,13715
6,8,20,888,248,0,0,23,23,1,99,5,3,2,4,7,1,2568
51,114,26,235454,43,0,0,63,25,1,99,5,3,2,2,2,1,5794
51,114,7,235454,43,0,0,44,40,19,9,5,3,1,5,4,1,7380
51,114,9,235454,43,0,0,46,50,60,1,5,3,2,7,11,99,13259
51,114,8,235454,43,0,0,45,50,10,1,5,3,2,7,11,99,34303
51,114,8,235454,43,0,0,45,50,10,1,5,3,1,5,4,1,18291
51,114,24,235454,43,0,0,61,22,1,99,5,3,1,8,2,1,604
51,114,17,235454,43,1,1,54,15,3,3,5,3,1,99,1,99,0
51,114,16,235454,43,1,1,53,14,1,99,5,3,1,2,1,2,179
6,8,20,888,248,6,6,23,23,1,99,5,3,1,5,1,2,1798
6,8,7,888,248,6,6,10,50,69,9,5,3,2,2,3,1,575
6,8,6,888,248,6,6,9,50,19,9,5,3,2,6,2,99,230
51,114,10,235454,43,20,20,47,60,19,9,5,3,2,7,11,99,39495
51,114,21,235454,43,9,9,58,19,1,99,5,3,1,99,1,99,0
6,11,1,53571,60,6,6,28,15,1,1,5,3,2,8,1,4,4200
51,114,24,235454,43,4,4,61,22,1,99,5,3,2,6,3,3,720
51,114,17,235454,43,1,1,54,15,3,3,5,3,2,4,2,1,4000
6,8,1,40624,60,6,6,27,15,1,1,5,3,2,8,1,5,0
51,114,4,235454,43,16,16,41,10,19,9,5,3,2,6,3,3,1260
6,8,18,888,248,6,6,21,21,1,99,5,3,2,1,2,2,1012
51,114,16,235454,43,1,1,53,14,1,99,5,3,1,3,1,1,4320
6,8,14,888,248,6,6,17,16,1,99,5,3,1,5,1,2,3887
6,8,5,888,248,6,6,8,40,19,9,5,3,2,8,1,5,0
4,5,1,220270,60,6,6,2,15,1,1,5,3,2,8,1,5,0
6,8,5,888,248,6,6,8,40,19,9,5,3,2,8,1,4,600
6,8,1,888,60,6,6,4,15,1,1,5,3,2,1,2,2,1444
51,114,25,235454,43,4,4,62,23,1,99,5,3,2,8,1,5,0
6,8,22,72183,60,6,6,25,15,1,1,5,3,2,1,2,2,16806
51,114,9,235454,43,19,19,46,50,60,1,5,3,2,6,3,4,10551
6,8,11,888,248,6,6,14,10,1,99,5,3,2,8,1,1,108000
16,35,1,160798,86,11500,12429,1,15,1,1,5,3,1,5,1,2,15000
6,8,23,88314,248,6,6,26,15,1,1,5,3,2,8,1,4,3600
51,114,15,235454,43,10,10,52,13,1,1,5,3,2,8,1,10,0
6,8,7,888,248,6,6,10,50,69,9,5,3,2,9,1,1,80033
6,8,3,888,248,6,6,6,20,19,9,5,3,2,2,1,1,732
6,8,1,888,60,6,6,4,15,1,1,5,3,2,3,1,1,350000
51,114,20,235454,43,2,2,57,18,1,99,5,3,1,5,1,2,3099
6,8,20,888,248,6,6,23,23,1,99,5,3,2,8,1,10,0
51,114,8,235454,43,32,32,45,50,10,1,5,3,2,4,5,1,24022
51,114,9,235454,43,19,19,46,50,60,1,5,3,1,5,3,1,40553
51,114,12,235454,43,51,51,49,90,19,9,5,3,1,2,1,1,5148
51,114,15,235454,43,10,10,52,13,1,1,5,3,2,7,11,99,4036
51,114,14,235454,43,26,26,51,12,1,1,5,3,2,7,11,99,15398
6,8,17,888,248,6,6,20,20,1,99,5,3,1,5,1,2,1985
51,114,14,235454,43,26,26,51,12,1,1,5,3,1,7,1,1,18848
6,8,2,888,248,6,6,5,10,19,9,5,3,2,8,1,4,600
51,114,11,235454,43,63,63,48,80,19,9,5,3,1,5,1,1,15669
6,8,23,88314,248,6,6,26,15,1,1,5,3,2,8,1,1,474000
51,114,20,235454,43,2,2,57,18,1,99,5,3,2,6,3,99,3194
51,114,13,235454,43,41,41,50,10,1,1,5,3,2,2,2,3,0
51,114,15,235454,43,10,10,52,13,1,1,5,3,2,6,3,4,6109
51,114,10,235454,43,20,20,47,60,19,9,5,3,1,3,1,1,44048
6,8,16,888,248,6,6,19,19,1,99,5,3,2,1,2,1,550
4,5,1,220270,60,6,6,2,15,1,1,5,3,2,8,1,1,714000
6,8,11,888,248,6,6,14,10,1,99,5,3,2,7,11,2,27184
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,8,1,10,0
51,114,5,235454,43,18,19,42,20,19,9,5,3,2,2,1,1,51953
51,114,1,222334,152,40890,61303,38,15,1,99,5,3,1,1,1,1,0
51,114,25,235454,43,4,4,62,23,1,99,5,3,2,8,1,4,1800
51,114,8,235454,43,32,32,45,50,10,1,5,3,2,8,1,1,1116000
6,8,14,888,248,6,6,17,16,1,99,5,3,2,1,2,99,1380
6,8,9,888,248,6,6,12,80,19,9,5,3,2,2,2,1,36480
6,8,2,888,248,6,6,5,10,19,9,5,3,2,7,11,2,16099
6,8,4,888,248,6,6,7,30,19,9,5,3,2,1,2,99,1840
6,8,22,72183,60,6,6,25,15,1,1,5,3,2,5,1,4,0
6,8,11,888,248,6,6,14,10,1,99,5,3,2,1,2,1,333
6,8,6,888,248,6,6,9,50,19,9,5,3,2,2,3,1,997
6,8,10,888,248,6,6,13,90,19,9,5,3,2,1,2,1,1100
51,114,15,235454,43,10,10,52,13,1,1,5,3,1,2,1,2,6388
51,114,5,235454,43,18,19,42,20,19,9,5,3,1,5,1,2,29439
6,8,7,888,248,6,6,10,50,69,9,5,3,1,3,1,1,133
51,114,6,235454,43,36,36,43,30,19,9,5,3,2,7,11,99,28372
51,114,14,235454,43,26,26,51,12,1,1,5,3,2,4,5,1,14321
51,114,4,235454,43,16,16,41,10,19,9,6,6,3,2,3,3,0
51,114,26,235454,43,6,6,63,25,1,99,5,3,2,6,3,99,0
51,114,15,235454,43,10,10,52,13,1,1,5,3,2,6,3,2,4403
6,8,8,888,248,6,6,11,60,19,9,5,3,1,1,1,1,1840
6,11,1,53571,60,6,6,28,15,1,1,5,3,2,8,1,2,16331
51,114,25,235454,43,4,4,62,23,1,99,5,3,1,5,3,1,16221
6,8,17,888,248,6,6,20,20,1,99,5,3,1,99,1,99,11112
6,8,1,888,60,6,6,4,15,1,1,5,3,2,8,1,5,0
51,114,14,235454,43,26,26,51,12,1,1,5,3,2,6,3,3,8640
51,114,21,235454,43,9,9,58,19,1,99,5,3,1,3,1,1,17383
6,8,4,888,248,6,6,7,30,19,9,5,3,2,6,3,99,0
51,114,7,235454,43,17,17,44,40,19,9,5,3,2,7,11,99,16178
51,114,1,222334,152,40890,61303,38,15,1,99,5,3,2,7,11,6,12215
51,114,10,235454,43,20,20,47,60,19,9,5,3,1,2,1,2,17699
6,8,6,888,248,6,6,9,50,19,9,5,3,1,1,1,1,698
51,114,1,222334,152,40890,61303,38,15,1,99,5,3,2,1,2,1,158490
51,114,19,235454,43,2,2,56,17,1,99,5,3,1,5,1,2,3099
51,114,4,235454,43,16,16,41,10,19,9,5,3,2,4,2,1,28655
6,8,4,888,248,6,6,7,30,19,9,5,3,1,5,3,1,4300
51,114,5,235454,43,18,19,42,20,19,9,5,3,1,3,1,2,3251
4,5,1,220270,60,6,6,2,15,1,1,5,3,2,1,2,2,4201
51,114,16,235454,43,1,1,53,14,1,99,5,3,2,2,2,1,0
51,114,12,235454,43,51,51,49,90,19,9,5,3,1,7,1,1,36970
6,8,7,888,248,6,6,10,50,69,9,5,3,2,5,1,1,21600
6,8,16,888,248,6,6,19,19,1,99,5,3,2,2,3,1,3642
51,114,21,235454,43,9,9,58,19,1,99,5,3,1,3,1,3,1478
4,5,1,220270,60,6,6,2,15,1,1,5,3,2,8,1,10,0
51,114,10,235454,43,20,20,47,60,19,9,5,3,2,2,2,3,118604
51,114,16,235454,43,1,1,53,14,1,99,5,3,2,2,2,3,10145
6,8,5,888,248,6,6,8,40,19,9,5,3,2,5,1,1,34800
51,114,23,235454,43,61,61,60,21,1,99,5,3,2,4,7,1,1803
6,8,16,888,248,6,6,19,19,1,99,5,3,2,2,1,1,1159
6,8,10,888,248,6,6,13,90,19,9,5,3,2,2,1,1,1708
6,8,16,888,248,6,6,19,19,1,99,5,3,2,8,1,1,108000
51,114,21,235454,43,9,9,58,19,1,99,5,3,2,9,1,1,151269
51,114,20,235454,43,2,2,57,18,1,99,5,3,2,9,1,1,101910
51,114,15,235454,43,10,10,52,13,1,1,5,3,2,8,1,5,0
6,8,20,888,248,6,6,23,23,1,99,5,3,2,6,1,2,50
6,8,2,888,248,6,6,5,10,19,9,5,3,2,2,1,2,200
51,114,16,235454,43,1,1,53,14,1,99,5,3,2,8,1,4,0
51,114,8,235454,43,32,32,45,50,10,1,5,3,2,8,1,2,72323
6,8,1,888,60,6,6,4,15,1,1,5,3,2,2,1,2,36925
51,114,12,235454,43,51,51,49,90,19,9,5,3,2,6,3,99,55405
6,8,9,888,248,6,6,12,80,19,9,5,3,2,8,1,1,108000
51,114,13,235454,43,41,41,50,10,1,1,5,3,1,8,1,99,205
51,114,8,235454,43,32,32,45,50,10,1,5,3,2,7,5,2,0
51,114,18,235454,43,38,40,55,16,1,99,5,3,2,6,3,99,71457
51,114,21,235454,43,9,9,58,19,1,99,5,3,1,5,3,1,24669
6,8,11,888,248,6,6,14,10,1,99,5,3,1,1,1,1,4600
6,8,14,888,248,6,6,17,16,1,99,5,3,2,8,1,4,2400
6,8,17,888,248,6,6,20,20,1,99,5,3,2,2,2,1,0
6,8,11,888,248,6,6,14,10,1,99,5,3,2,8,1,4,600
6,8,6,888,248,6,6,9,50,19,9,5,3,2,2,2,1,0
51,114,6,235454,43,36,36,43,30,19,9,5,3,1,3,1,2,6159
51,114,14,235454,43,26,26,51,12,1,1,5,3,1,5,4,1,22676
51,114,16,235454,43,1,1,53,14,1,99,5,3,2,7,11,2,0
6,8,19,888,248,6,6,22,22,1,99,5,3,2,2,2,1,0
6,8,20,888,248,6,6,23,23,1,99,5,3,2,6,3,99,0
6,8,6,888,248,6,6,9,50,19,9,5,3,1,5,1,2,2216
6,8,21,888,248,6,6,24,25,1,99,5,3,1,2,1,1,168
6,8,14,888,248,6,6,17,16,1,99,5,3,2,2,2,3,121346
51,114,26,235454,43,6,6,63,25,1,99,6,6,3,2,9,3,0
6,8,20,888,248,6,6,23,23,1,99,5,3,2,2,3,1,613
51,114,26,235454,43,6,6,63,25,1,99,5,3,2,8,1,4,1200
51,114,8,235454,43,32,32,45,50,10,1,5,3,1,3,1,3,4388
51,114,19,235454,43,2,2,56,17,1,99,5,3,2,6,3,3,180
6,8,5,888,248,6,6,8,40,19,9,5,3,2,8,1,10,0
51,114,25,235454,43,4,4,62,23,1,99,5,3,1,5,1,2,6198
51,114,20,235454,43,2,2,57,18,1,99,5,3,2,8,1,2,0
51,114,22,235454,43,12,12,59,20,1,99,5,3,2,9,1,1,195641
51,114,25,235454,43,4,4,62,23,1,99,5,3,1,2,1,1,864
51,114,27,235455,60,6,6,64,15,1,1,5,3,2,2,5,1,43765
6,11,1,53571,60,6,6,28,15,1,1,5,3,2,7,5,10,0
6,8,7,888,248,6,6,10,50,69,9,5,3,1,99,1,99,4857
6,8,1,888,60,6,6,4,15,1,1,5,3,2,8,1,4,22800
51,114,12,235454,43,51,51,49,90,19,9,5,3,1,3,1,1,53191
51,114,11,235454,43,63,63,48,80,19,9,5,3,1,5,3,1,138176
6,8,1,888,60,6,6,4,15,1,1,5,3,2,4,5,1,13859
6,8,23,88314,248,6,6,26,15,1,1,5,3,2,2,2,1,0
51,114,25,235454,43,4,4,62,23,1,99,5,3,2,9,1,1,73617
16,35,1,160798,86,11500,12429,1,15,1,1,5,3,2,1,2,1,1040
6,8,5,888,248,6,6,8,40,19,9,5,3,1,5,1,2,2510
51,114,2,367088,96,0,0,30,10,7,2,6,5,2,2,1,99,71227
6,8,9,888,248,6,6,12,80,19,9,5,3,2,2,1,2,1600
6,8,20,888,248,6,6,23,23,1,99,5,3,2,8,1,1,108000
6,8,4,888,248,6,6,7,30,19,9,5,3,2,2,1,2,2280
51,114,5,235454,43,18,19,42,20,19,9,5,3,2,4,7,1,0
6,8,6,888,248,6,6,9,50,19,9,5,3,2,1,2,99,383
51,114,15,235454,43,10,10,52,13,1,1,5,3,1,8,1,99,63
51,114,17,235454,43,1,1,54,15,3,3,5,3,1,5,1,2,1549
51,114,16,235454,43,1,1,53,14,1,99,5,3,2,6,3,2,1158
6,8,15,888,248,0,0,18,17,1,99,5,3,2,2,2,3,13657
51,114,21,235454,43,0,0,58,19,1,99,5,3,1,5,4,1,7153
51,114,10,235454,43,0,0,47,60,19,9,5,3,2,2,2,1,12000
51,114,7,235454,43,0,0,44,40,19,9,5,3,2,2,2,1,23176
6,8,7,888,248,0,0,10,50,69,9,5,3,2,6,1,2,123
6,8,1,888,60,0,0,4,15,1,1,5,3,1,8,2,1,1920
51,114,23,235454,43,0,0,60,21,1,99,5,3,1,99,1,99,6450
51,114,15,235454,43,0,0,52,13,1,1,5,3,1,5,4,1,4669
51,114,14,235454,43,0,0,51,12,1,1,5,3,2,2,2,2,1500
51,114,14,235454,43,0,0,51,12,1,1,5,3,1,8,2,1,3928
